trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,congruent
0,0,0,0,0,1,0.40000000000000002,0.20000000000000001,0.40000000000000002,0.080000000000000016,0.56000000000000005,False
1,0,1,0,1,0,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.32000000000000006,0.43999999999999995,False
2,1,0,0,1,0,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.56000000000000005,False
3,1,0,1,0,1,0.59999999999999998,0.20000000000000001,0.40000000000000002,0.35999999999999999,0.43999999999999995,False
4,0,1,0,0,0,0.40000000000000002,0.20000000000000001,0.59999999999999998,0.32000000000000006,0.56000000000000005,True
5,1,0,0,1,1,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.35999999999999999,0.43999999999999995,True
6,1,1,1,1,0,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.56000000000000005,False
7,0,0,0,1,0,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.080000000000000016,0.43999999999999995,False
8,1,0,0,1,0,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.35999999999999999,0.56000000000000005,False
9,1,0,1,1,1,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.23999999999999999,0.43999999999999995,True
10,1,0,1,1,1,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.35999999999999999,0.43999999999999995,True
11,0,0,1,1,1,0.40000000000000002,0.80000000000000004,0.40000000000000002,0.080000000000000016,0.43999999999999995,True
12,1,1,0,1,0,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.35999999999999999,0.56000000000000005,False
13,1,0,1,1,1,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.35999999999999999,0.43999999999999995,True
14,1,1,1,1,0,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.23999999999999999,0.56000000000000005,False
15,0,0,0,1,0,0.40000000000000002,0.80000000000000004,0.59999999999999998,0.32000000000000006,0.43999999999999995,False
16,1,1,0,1,1,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.23999999999999999,0.43999999999999995,True
17,1,0,0,1,1,0.59999999999999998,0.80000000000000004,0.40000000000000002,0.23999999999999999,0.43999999999999995,True
18,1,1,0,1,0,0.59999999999999998,0.80000000000000004,0.59999999999999998,0.35999999999999999,0.56000000000000005,False
